PGA(g),B(m),DF(m),Y(kN/m3),Beban(kN),Qult,SF,Qall
0,0.5,0.5,17,50,39.17,2.25,17.43064827
0,0.6,0.5,17,50,131.80,2.46,53.55546526
0,0.7,0.5,17,50,145.50,2.51,57.92197452
0,0.8,0.5,17,50,159.00,2.54,62.57378985
0,0.9,0.5,17,50,172.60,2.66,64.78978979
0,1,0.5,17,50,186.70,2.68,69.59925443
0,1.1,0.5,17,50,199.10,2.70,73.71343947
0,1.2,0.5,17,50,212.50,2.70,78.58727811
0,1.3,0.5,17,50,226.90,2.77,81.85425685
0,1.4,0.5,17,50,239.60,2.84,84.36619718
0,1.5,0.5,17,50,252.70,2.86,88.23324022
0,1.6,0.5,17,50,265.40,2.86,92.89464473
0,1.7,0.5,17,50,278.60,2.92,95.3782951
0,1.8,0.5,17,50,292.20,2.98,97.92225201
0,1.9,0.5,17,50,304.90,3.02,100.9268454
0,2,0.5,17,50,318.20,3.06,104.1230366
0,2.1,0.5,17,50,331.00,3.16,104.8795944
0,2.2,0.5,17,50,345.60,3.22,107.2958708
0,2.3,0.5,17,50,357.70,3.28,108.9552239
0,2.4,0.5,17,50,371.00,3.32,111.7133394
0,2.5,0.5,17,50,385.30,3.34,115.3247531
0,2.6,0.5,17,50,397.10,3.43,115.6377402
0,2.7,0.5,17,50,407.90,3.48,117.2126437
0,2.8,0.5,17,50,425.50,3.57,119.1876751
0,2.9,0.5,17,50,433.80,3.64,119.1430926
0,3,0.5,17,50,439.80,3.71,118.4806034
0,1,1,17,50,228.00,3.26,69.96011046
0,1.1,1,17,50,241.40,3.29,73.39616905
0,1.2,1,17,50,256.20,3.33,76.96004806
0,1.3,1,17,50,269.40,3.36,80.08323424
0,1.4,1,17,50,283.20,3.43,82.58967629
0,1.5,1,17,50,297.40,3.45,86.17791944
0,1.6,1,17,50,310.30,3.48,89.08986506
0,1.7,1,17,50,326.30,3.51,92.91002278
0,1.8,1,17,50,340.50,3.53,96.48625673
0,1.9,1,17,50,355.00,3.62,97.9580574
0,2,1,17,50,366.50,3.72,98.54799677
0,2.1,1,17,50,381.40,3.83,99.7124183
0,2.2,1,17,50,410.50,3.88,105.7308435
0,2.3,1,17,50,412.00,3.94,104.5685279
0,2.4,1,17,50,427.00,3.99,106.9103655
0,2.5,1,17,50,440.00,4.05,108.6956522
0,2.6,1,17,50,454.60,4.10,110.9863281
0,2.7,1,17,50,469.80,4.12,114.0291262
0,2.8,1,17,50,480.70,4.15,115.9011453
0,2.9,1,17,50,497.10,4.20,118.3853298
0,3,1,17,50,514.20,4.23,121.5459166
0,1.5,1.5,17,50,345.40,3.49,99.11047346
0,1.6,1.5,17,50,356.90,3.60,99.11135796
0,1.7,1.5,17,50,376.40,3.64,103.3781928
0,1.8,1.5,17,50,392.30,3.68,106.5164268
0,1.9,1.5,17,50,409.10,3.84,106.5087217
0,2,1.5,17,50,424.50,3.84,110.4893285
0,2.1,1.5,17,50,435.80,3.96,110.0505051
0,2.2,1.5,17,50,443.50,4.01,110.5433699
0,2.3,1.5,17,50,466.30,4.08,114.1772772
0,2.4,1.5,17,50,480.10,4.13,116.2751271
0,2.5,1.5,17,50,492.10,4.34,113.3870968
0,2.6,1.5,17,50,505.80,4.37,115.7437071
0,2.7,1.5,17,50,516.10,4.48,115.123801
0,2.8,1.5,17,50,534.10,4.54,117.5654854
0,2.9,1.5,17,50,543.10,4.58,118.5031639
0,3,1.5,17,50,555.20,4.64,119.5778591
0,2,2,17,50,463.70,4.15,111.84274
0,2.1,2,17,50,481.40,4.26,113.0843317
0,2.2,2,17,50,489.90,4.35,112.7243442
0,2.3,2,17,50,498.40,4.51,110.4487535
0,2.4,2,17,50,516.40,4.68,110.3654627
0,2.5,2,17,50,528.40,4.73,111.6416649
0,2.6,2,17,50,542.50,4.77,113.7793624
0,2.7,2,17,50,566.60,4.79,118.4117032
0,2.8,2,17,50,578.60,4.88,118.5412825
0,2.9,2,17,50,587.50,4.89,120.0940311
0,3,2,17,50,603.40,5.02,120.1752639
0,2.5,2.5,17,50,564.40,5.06,111.5194626
0,2.6,2.5,17,50,579.00,5.15,112.4053582
0,2.7,2.5,17,50,595.10,5.21,114.1350211
0,2.8,2.5,17,50,613.40,5.52,111.103061
0,2.9,2.5,17,50,636.10,5.83,109.1455045
0,3,2.5,17,50,644.40,6.03,106.8302387
0,0.5,0.5,17,100,117.50,1.40,83.86866524
0,0.6,0.5,17,100,131.80,1.40,94.0085592
0,0.7,0.5,17,100,145.50,1.46,99.58932238
0,0.8,0.5,17,100,159.00,1.52,104.6052632
0,0.9,0.5,17,100,172.60,1.51,114.5321831
0,1,0.5,17,100,186.70,1.49,124.9665328
0,1.1,0.5,17,100,199.10,1.50,132.7333333
0,1.2,0.5,17,100,212.50,1.51,141.1022576
0,1.3,0.5,17,100,226.90,1.61,140.931677
0,1.4,0.5,17,100,239.60,1.68,143.0447761
0,1.5,0.5,17,100,252.70,1.74,145.2298851
0,1.6,0.5,17,100,265.40,1.78,148.9755824
0,1.7,0.5,17,100,278.60,1.82,152.8250137
0,1.8,0.5,17,100,292.20,1.88,155.0955414
